iso_code,date,vaccine_id,total_vaccinations
CHL,23/05/2021,4,14312287
CHL,24/05/2021,1,98667
CHL,24/05/2021,2,3069965
CHL,24/05/2021,4,14462555
CHL,25/05/2021,1,116065
CHL,25/05/2021,2,3181606
CHL,25/05/2021,4,14580240
CHL,26/05/2021,1,141048
CHL,26/05/2021,2,3256203
CHL,26/05/2021,4,14709639
CHL,27/05/2021,1,174055
CHL,27/05/2021,2,3313855
CHL,27/05/2021,4,14822149
CHL,28/05/2021,1,204910
CHL,28/05/2021,2,3363151
CHL,28/05/2021,4,14928299
CHL,29/05/2021,1,213077
CHL,29/05/2021,2,3375687
CHL,29/05/2021,4,14954966
CHL,30/05/2021,1,214410
CHL,30/05/2021,2,3377309
CHL,30/05/2021,4,14962103
CHL,31/05/2021,13,74
CHL,31/05/2021,1,255005
CHL,31/05/2021,2,3448620
CHL,31/05/2021,4,15065750
CHL,1/06/2021,13,10452
CHL,1/06/2021,1,296521
CHL,1/06/2021,2,3555810
CHL,1/06/2021,4,15127979
CHL,2/06/2021,13,33759
CHL,2/06/2021,1,325967
CHL,2/06/2021,2,3638924
CHL,2/06/2021,4,15196276
CHL,3/06/2021,13,73370
CHL,3/06/2021,1,328000
CHL,3/06/2021,2,3686801
CHL,3/06/2021,4,15270513
CHL,4/06/2021,13,107721
CHL,4/06/2021,1,329327
CHL,4/06/2021,2,3711536
CHL,4/06/2021,4,15355263
CHL,5/06/2021,13,117629
CHL,5/06/2021,1,329583
CHL,5/06/2021,2,3716706
CHL,5/06/2021,4,15377647
CHL,6/06/2021,13,119419
CHL,6/06/2021,1,329611
CHL,6/06/2021,2,3717299
CHL,6/06/2021,4,15380233
CHL,7/06/2021,13,146879
CHL,7/06/2021,1,331253
CHL,7/06/2021,2,3729347
CHL,7/06/2021,4,15520465
CHL,8/06/2021,13,166955
CHL,8/06/2021,1,332669
CHL,8/06/2021,2,3743246
CHL,8/06/2021,4,15669780
CHL,9/06/2021,13,183679
CHL,9/06/2021,1,334356
CHL,9/06/2021,2,3755801
CHL,9/06/2021,4,15832442
CHL,10/06/2021,13,196830
CHL,10/06/2021,1,335413
CHL,10/06/2021,2,3769983
CHL,10/06/2021,4,16007118
CHL,11/06/2021,13,200878
CHL,11/06/2021,1,336452
CHL,11/06/2021,2,3787061
CHL,11/06/2021,4,16163899
CHL,12/06/2021,13,201270
CHL,12/06/2021,1,336725
CHL,12/06/2021,2,3789928
CHL,12/06/2021,4,16192871
CHL,13/06/2021,13,201319
CHL,13/06/2021,1,336736
CHL,13/06/2021,2,3790477
CHL,13/06/2021,4,16194329
CHL,14/06/2021,13,205489
CHL,14/06/2021,1,337707
CHL,14/06/2021,2,3822716
CHL,14/06/2021,4,16378579
CHL,15/06/2021,13,209161
CHL,15/06/2021,1,338349
CHL,15/06/2021,2,3876048
CHL,15/06/2021,4,16531584
CHL,16/06/2021,13,213115
CHL,16/06/2021,1,339025
CHL,16/06/2021,2,3947842
CHL,16/06/2021,4,16681987
